trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
96,False,"{'a': 0.4, 'e': 0.9084203817511963}",25,0,-17.605027729406903,"{0: 21, 1: 2, 2: 1, 3: 1, 4: 0}",0
97,False,"{'a': 0.4, 'e': 0.9075119613694451}",20,0,-66.11345562756942,"{0: 11, 1: 2, 2: 7, 3: 0, 4: 0}",0
98,False,"{'a': 0.4, 'e': 0.9066044494080757}",30,0,-98.01836737639758,"{0: 19, 1: 4, 2: 6, 3: 0, 4: 1}",0
99,False,"{'a': 0.4, 'e': 0.9056978449586677}",25,0,-123.04641579768898,"{0: 13, 1: 3, 2: 6, 3: 3, 4: 0}",0
100,False,"{'a': 0.4, 'e': 0.9047921471137089}",25,0,-73.30379107976172,"{0: 18, 1: 0, 2: 6, 3: 0, 4: 1}",0
101,False,"{'a': 0.4, 'e': 0.9038873549665952}",20,14,-4.545089450904444,"{0: 5, 1: 0, 2: 1, 3: 0, 4: 0}",1
102,False,"{'a': 0.4, 'e': 0.9029834676116286}",20,0,-168.4718346073831,"{0: 10, 1: 0, 2: 6, 3: 2, 4: 2}",0
103,False,"{'a': 0.4, 'e': 0.902080484144017}",20,0,-58.11077275423215,"{0: 12, 1: 3, 2: 4, 3: 1, 4: 0}",0
104,False,"{'a': 0.4, 'e': 0.901178403659873}",20,0,-119.0077703513584,"{0: 13, 1: 0, 2: 5, 3: 0, 4: 2}",0
105,False,"{'a': 0.4, 'e': 0.9002772252562131}",25,4,-115.8238434850875,"{0: 11, 1: 2, 2: 6, 3: 1, 4: 1}",1
106,False,"{'a': 0.4, 'e': 0.8993769480309569}",30,0,-277.12519766221936,"{0: 18, 1: 3, 2: 2, 3: 1, 4: 6}",0
107,False,"{'a': 0.4, 'e': 0.8984775710829259}",20,0,-134.82198022014057,"{0: 10, 1: 5, 2: 2, 3: 1, 4: 2}",0
108,False,"{'a': 0.4, 'e': 0.8975790935118431}",20,0,-46.84285010820586,"{0: 13, 1: 2, 2: 5, 3: 0, 4: 0}",0
109,False,"{'a': 0.4, 'e': 0.8966815144183312}",30,5,-119.53854340255697,"{0: 15, 1: 3, 2: 5, 3: 0, 4: 2}",1
110,False,"{'a': 0.4, 'e': 0.8957848329039129}",25,0,-107.21971221296151,"{0: 16, 1: 1, 2: 6, 3: 1, 4: 1}",0
111,False,"{'a': 0.4, 'e': 0.894889048071009}",25,0,-77.32918888784958,"{0: 17, 1: 2, 2: 5, 3: 0, 4: 1}",0
112,False,"{'a': 0.4, 'e': 0.8939941590229379}",25,0,-10.097387405610924,"{0: 21, 1: 3, 2: 1, 3: 0, 4: 0}",0
113,False,"{'a': 0.4, 'e': 0.893100164863915}",20,1,-105.50997006146947,"{0: 11, 1: 3, 2: 3, 3: 0, 4: 2}",1
114,False,"{'a': 0.4, 'e': 0.8922070646990511}",20,0,-18.098320145132117,"{0: 16, 1: 2, 2: 2, 3: 0, 4: 0}",0
115,False,"{'a': 0.4, 'e': 0.891314857634352}",20,0,-30.495365832822095,"{0: 14, 1: 4, 2: 1, 3: 1, 4: 0}",0
116,False,"{'a': 0.4, 'e': 0.8904235427767176}",25,0,-233.7801535659936,"{0: 13, 1: 5, 2: 2, 3: 0, 4: 5}",0
117,False,"{'a': 0.4, 'e': 0.889533119233941}",25,0,-179.9939528885274,"{0: 14, 1: 2, 2: 6, 3: 0, 4: 3}",0
118,False,"{'a': 0.4, 'e': 0.8886435861147071}",30,0,-210.36730532620652,"{0: 17, 1: 0, 2: 9, 3: 1, 4: 3}",0
